id,preco
1.35188E+37,238574.38
2.99896E+38,168111.5
3.16181E+38,168191.83
2.22527E+38,103986.54
1.6046E+38,132531.66
2.62727E+38,81426.16
2.54094E+38,156063.05
2.61182E+37,78387.27
2.16525E+35,55171.1
1.85631E+38,194685.1
1.93326E+38,131093.66
2.38918E+38,50063.47
5.54308E+37,260213.16
2.15318E+38,199086.45
8.15972E+37,132393.89
1.44897E+38,62014.35
1.846E+38,147234.58
3.32524E+38,116594.9
1.15344E+38,173625.53
2.07572E+37,134259.62
1.85526E+38,168968.98
6.0658E+37,123079.74
2.5247E+38,144323.56
1.44289E+38,72292.88
2.86705E+38,111330.93
1.04788E+38,229869.83
8.30916E+37,158292.44
2.53819E+38,101906.11
4.75521E+37,77192.69
1.43933E+38,101681.93
1.96346E+38,153434.39
2.44793E+38,134573.67
8.45899E+37,127075.93
2.722E+38,89402.29
4.99594E+37,76578.19
2.81027E+38,65138.055
9.30746E+37,120021.2
2.67284E+37,110466.87
1.88212E+38,38585.613
7.24879E+37,91939.21
2.28864E+38,117406.055
1.12454E+38,144141.16
2.22663E+38,102272.336
1.743E+38,212229.48
6.56161E+37,122915.31
1.25124E+37,135138.53
3.36344E+38,74630.52
7.95223E+37,217184.9
8.26898E+37,81761.92
1.45087E+38,115164.88
1.4838E+38,231480.45
8.17834E+37,93990.22
1.7392E+37,146208.56
2.21004E+38,105970.625
3.2271E+37,116372.73
4.47434E+37,97724.88
2.5674E+38,191536.42
1.0207E+38,139973.66
2.95239E+38,67782.484
2.17044E+38,110964.15
2.3063E+38,143009.86
2.28795E+38,123331.555
2.26883E+38,107543.32
1.78728E+38,177157.84
2.33324E+38,65372.04
1.20197E+38,163635.06
3.07588E+38,118560.81
1.47918E+38,234034.16
3.22862E+38,96904.07
2.39523E+38,121460.83
1.1351E+38,143851.88
1.09891E+38,101096.48
1.40473E+37,174495.56
1.85049E+38,98109.164
2.33408E+38,82123.29
2.71869E+38,140119.38
2.34267E+38,105808.766
1.35194E+38,57372.324
6.53835E+37,103137.664
